question,answer
"This isn't about your wedding. Renly Baratheon had a wedding. Your wife needs a child, a Lannister child, as soon as possible.", And?
"If you're going to give her one, you need to perform.", What did you once call me? A drunken little lust-filled beast.
More than once.," There you have it. Nothing to worry about. Drinking and lust, no man can match me in these things. I am the god of tits and wine. I shall build a shrine to myself at the next brothel I visit."
Time for the bedding ceremony., There will be no bedding ceremony.
"Where's your respect for tradition, Uncle? Come, everyone. Pick her up and carry her to her wedding bed. Get rid of her gown. She won't be needing it any longer. Ladies, attend to my uncle. He's not heavy.", There will be no bedding ceremony.
"Your uncle is clearly quite drunk, Your Grace.", I am. Guilty. But- but it is my wedding night.
"Is that wise, my lord?"," Tyrion, Sansa. My name is Tyrion."
"Is that wise, Tyrion?", Nothing was ever wiser.
What?, Neck. You have one. How old are you exactly?
Fourteen.," Well, talk won't make you any older. My lord father has commanded me to consummate this marriage."
But your father-," If my father wants someone to get fucked, I know where he can start. I won't share your bed. Not until you want me to."
How many Dornishmen does it take to fuck a goat?, Please don't.
"Seems to me the smart place to meet travelers is in a tavern. That way, one party is late, the other party can drink some ale inside."," This is the Prince of Dorne we're waiting for, not one of your sellsword friends."
"If he's so damned important, how come they sent you to meet him?", There's bad blood between the Martells of Dorne and the Lannisters of Casterly Rock. Has been for years.
"And just in case the Martells of Dorne are looking to spill some Lannister blood, it may as well be yours, eh?", No need for cynicism. I happen to be an accomplished diplomat.
"Wild lemons on a purple field, House Dalt of Lemonwood. A vulture grasping a baby in it's talons, House Blackmont. A crowned skull, the Manwoodys of Kingsgrave.", Boy knows his Dornish Houses.
I need a sigil.," And House Martell, a red sun pierced by a spear?"
The prince's health forces him to remain at Sunspear. He sends his brother Prince Oberyn to attend the royal wedding in his stead.," (Nods.) Yes, the king will be delighted to enjoy the company of a warrior as renowned as Prince Oberyn at his wedding feast."
Will he?, And where is Prince Oberyn?
"Arrived before dawn. Not a man for welcome parties, our prince."," Very well. My lords, these fine men from the City Watch will escort you to your quarters in the Red Keep."
Some accomplished diplomacy that was. Now where?, We must find Prince Oberyn before he kills somebody or several somebodies.
How do you plan on finding a single Dornishman in a city this big?," You're famous for fucking half of Westeros. You just arrived at the capital after two weeks of bad roads, where would you go?"
"Ellaria Sand, my paramour. The king's own Uncle Imp. Tyrion, son of Tywin Lannister.", If there's anything I can do to make your stay...
Seems I visited the Lannister brothel by mistake.," Oh, they take all kinds."
Even Dornishmen., The king is very grateful that you traveled all this way for his wedding.
Let us speak truth here. Joffrey is insulted. I am only the second son after all.," Well, speaking as a fellow second son, I have grown rather used to being the family insult."
(Chuckles)," Why did you come to King's Landing, Prince Oberyn?"
I was invited to the royal wedding., I thought we were speaking truth.
"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city...", I wasn't actually present.
I'm asking you a question., I've heard rumors.
(Chuckles) So have I. The one I keep hearing is that Gregor Clegane the Mountain raped Elia and split her in half with his great sword., I wasn't there. I don't know what happened.
Tell her she needs to eat.," My lady, you do need to eat."
I don't need to eat., If I could have a moment alone with my wife.
How can you help me?," I don't know, but I can try."
I lie awake all night staring at the canopy thinking about how they died., I could get you essence of nightshade to help you sleep.
Do you know what they did to my brother? How they sewed his direwolf's head onto his body? And my mother. They say they cut her throat to the bone and threw her body in the river.," What happened to your family was a terrible crime. I didn't know your brother. He seemed like a good man, but I didn't know him. Your mother, on the other hand, I admired her. She wanted to have me executed, but I admired her. She was a strong woman. And she was fierce when it came to protecting her children. Sansa. Your mother would want you to carry on. You know it's true."
"Will you pardon me, my lord? I'd like to visit the godswood."," Of course. Of course. Prayer can be helpful, I hear."
My lion., What are you doing?
What does it look like I'm doing? Come here., How many times have I told you? You can't visit me here.
I know. I know. We have come to a dangerous place. Have you forgotten me? Do you know how long it's been?, Of course I haven't forgotten.
